stabs,3
stays,3
stags,2
toads,2
angst,2
assay,3
squad,3
squaw,3
basic,2
sahib,3
basin,2
basso,1
saucy,3
daisy,2
hasty,3
tasty,3
mason,3
sandy,3
nasty,2
pansy,2
pasha,2
pasty,2
pshaw,2
saint,2
saith,2
satin,2
sigma,2
squat,2
unsay,2
vista,2
waist,2
ditch,1
grunt,2
apart,2
graft,3
grant,3
quart,3
tramp,3
wrapt,3
award,2
board,3
brand,3
fraud,3
grand,3
guard,3
braid,2
brain,3
grain,3
frond,2
bravo,3
brawn,3
frank,3
gravy,3
ovary,3
prank,3
chair,2
charm,3
chary,3
chart,2
crack,3
wrack,3
craft,2
cramp,3
crank,3
crazy,3
franc,3
diary,2
draft,2
drain,2
drama,3
drank,1
drawn,3
graph,2
hoard,2
hoary,3
wharf,3
tiara,2
track,3
tract,3
train,3
trait,3
wrath,2
sheep,1
arise,3
arose,3
aster,3
baser,3
parse,2
sabre,2
safer,3
saner,3
shear,2
smear,3
swear,3
spear,2
gipsy,1
arson,3
straw,3
astir,2
harsh,3
marsh,3
satyr,2
scrap,3
strap,3
spray,2
stray,2
sugar,2
auras,2
barbs,4
barks,2
barns,3
harps,4
parks,4
warns,4
yarns,4
bards,3
cards,3
wards,3
yards,3
carts,3
harts,3
parts,3
tarts,4
warts,4
darts,2
fairs,3
hairs,3
pairs,3
farms,3
harms,3
marks,3
warms,3
marts,2
clink,1
avail,3
quail,3
black,2
bland,3
gland,3
plant,3
blank,3
flank,3
plank,3
clack,2
claim,2
clamp,2
clang,2
clank,2
flail,3
plaid,3
plait,3
flaky,2
llama,3
plaza,3
loamy,3
loath,3
plain,2
aware,2
brace,4
grace,4
crane,3
crape,3
crave,4
craze,4
brake,4
brave,2
frame,3
grape,3
grave,4
graze,4
crate,3
trace,3
drake,3
drape,3
grade,3
grate,3
irate,3
prate,3
trade,2
shift,1
balls,3
calls,3
galls,4
walls,4
fails,2
falls,2
hails,2
halls,3
hauls,3
jumps,2
jails,3
mails,3
nails,4
wails,4
pails,3
sails,2
tails,2
basil,3
lasso,2
nasal,2
palsy,2
salad,3
salty,1
salon,2
salsa,2
salvo,2
shoal,2
usual,2
chute,1
beach,3
peach,3
beady,2
beaux,2
death,3
heath,3
heady,3
heavy,3
heave,2
meant,2
peace,2
teach,2
weave,2
month,1
beads,3
beaks,3
peaks,3
beams,3
seams,3
beans,3
deans,3
jeans,3
feats,3
seats,3
heads,3
heaps,3
heats,2
means,2
meats,2
teams,2
beard,2
heard,2
heart,2
weary,2
yearn,2
bears,2
dears,2
fight,2
fears,3
gears,3
hears,3
pears,4
wears,4
tears,3
nears,2
years,2
beast,2
cease,3
pease,3
feast,3
yeast,3
seamy,2
tease,2
beech,3
bench,3
wench,3
befit,1
feint,3
tempi,3
tempo,3
tenet,3
tepee,3
being,3
feign,3
genie,3
genii,3
begun,3
penny,3
venom,3
venue,3
ceded,2
debit,3
deity,1
debut,3
depot,2
decoy,2
deign,2
deuce,2
fence,3
pence,3
fetch,3
ketch,3
feted,3
meted,3
fetid,2
hedge,3
hewed,3
hence,2
jetty,3
petty,3
dowdy,2
keyed,3
mewed,3
needy,3
vexed,3
wedge,3
weedy,3
neigh,3
weigh,3
teeth,3
tenth,3
tepid,2
spent,1
beets,3
meets,3
teems,3
bends,3
genus,3
mends,3
menus,3
necks,3
cents,3
dents,4
tends,4
gents,3
nests,4
tents,4
vents,4
butte,2
debts,3
fetus,3
jests,4
vests,4
tests,4
texts,4
mused,2
decks,3
desks,3
feuds,3
memes,3
vexes,3
deeds,4
deems,4
feeds,4
heeds,4
weeds,3
weeks,3
deeps,3
keeps,3
peeps,3
weeps,3
needs,2
pecks,3
pesos,3
penis,2
peons,2
pests,3
temps,3
sects,2
seeds,3
seeks,3
seems,3
sends,2
sexes,2
teens,2
veins,2
began,2
decay,2
media,2
lined,1
belie,3
helix,3
welch,3
bevel,1
jewel,3
delve,3
veldt,3
devil,2
felon,3
melon,3
ledge,2
leech,3
lemme,3
lemon,2
levee,3
level,3
belle,2
belly,2
